date,location,cases,cases_minmax,RAINFALL_minmax,TMAX_minmax,TMIN_minmax,RH_minmax,WIND_SPEED_minmax,WIND_DIR_X,WIND_DIR_Y,state
2018-02-11,MANILA CITY,84,0.35,0.0027359781121751,0.1240786240786238,0.2534482758620693,0.4688008681497556,0.3544018058690744,0.5984644366287003,-0.8011493731450411,High
2018-02-18,MANILA CITY,67,0.2791666666666667,0.0082079343365253,0.3845208845208845,0.5482758620689654,0.3448182311448725,0.3544018058690744,-0.814318172324514,-0.5804187404125261,Medium
2018-02-25,MANILA CITY,72,0.3,0.0123119015047879,0.5479115479115478,0.6,0.1703743895822029,0.291196388261851,-0.2905351936977566,0.9568643065884562,Medium
2018-03-04,MANILA CITY,63,0.2625,0.0054719562243502,0.5577395577395583,0.7068965517241381,0.3526858383071081,0.291196388261851,-0.99991883578646,-0.0127405588358881,Medium
2018-03-11,MANILA CITY,29,0.1208333333333333,0.0517099863201094,0.3857493857493859,0.5189655172413795,0.3176885512750949,0.2595936794582392,-0.9663760793213292,0.2571327931546965,Low
2018-03-18,MANILA CITY,41,0.1708333333333333,0.0082079343365253,0.4840294840294843,0.5224137931034484,0.2208355941399891,0.3544018058690744,-0.3073566177998073,-0.951594403879438,Medium
2018-03-25,MANILA CITY,24,0.1,0.0106703146374829,0.3636363636363638,0.4724137931034485,0.2441671188279978,0.3227990970654626,-0.7262148132107445,-0.6874678502106724,Low
2018-04-01,MANILA CITY,29,0.1208333333333333,0.042407660738714,0.3452088452088452,0.374137931034483,0.3372219207813347,0.1941309255079006,-0.0690600257144052,-0.9976125063612252,Low
2018-04-08,MANILA CITY,30,0.125,0.0068399452804377,0.4017199017199018,0.5810344827586208,0.2674986435160066,0.1941309255079006,0.9895257890689696,-0.1443562010009733,Low
2018-04-15,MANILA CITY,20,0.0833333333333333,0.0235294117647058,0.658476658476659,0.8051724137931037,0.2634291915355398,0.2257336343115124,0.1265452364916766,-0.9919608374937318,Low
2018-04-22,MANILA CITY,24,0.1,0.0054719562243502,0.6547911547911552,0.8120689655172414,0.147314161692892,0.1625282167042889,-0.5645348975827962,0.8254092011912527,Low
2018-04-29,MANILA CITY,27,0.1125,0.0109439124487004,0.7739557739557743,0.936206896551724,0.224633749321758,0.0970654627539503,-0.9351352096860116,0.354291037997716,Low
2018-05-06,MANILA CITY,24,0.1,0.0262653898768809,0.7285012285012283,0.913793103448276,0.2287032013022245,0.0654627539503386,-0.9663760793213292,-0.2571327931546963,Low
2018-05-13,MANILA CITY,9,0.0375,0.094391244870041,0.7911547911547916,0.7465517241379312,0.3372219207813347,0.1625282167042889,-0.3503708560618166,-0.936611052263697,Low
2018-05-20,MANILA CITY,18,0.075,0.0084815321477428,0.8181818181818185,0.9327586206896552,0.2750949538795439,0.0654627539503386,-0.568418264219303,0.8227397382537899,Low
2018-05-27,MANILA CITY,26,0.1083333333333333,0.0254445964432284,0.8353808353808357,0.8913793103448278,0.3176885512750949,0.0654627539503386,-0.8910857469070923,-0.4538349828506275,Low
2018-06-03,MANILA CITY,15,0.0625,0.0749658002735978,0.8206388206388204,0.8379310344827584,0.3990775908844275,0.0,-0.9819917011209968,-0.1889240559841207,Low
